Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
147,427,"(836.0,239.0),(1289.0,208.0),(1292.0,694.0),(841.0,698.0)",0.002202354640258664,3.1153683662489087,4.249585109758895,-3.9147995
148,427,"(828.0,245.0),(1284.0,215.0),(1283.0,705.0),(833.0,707.0)",0.002188251902733378,2.892171584195927,3.8140748342903543,-3.7640347
149,813,"(1285.0,256.0),(1273.0,703.0),(835.0,704.0),(830.0,259.0)",0.0022363307795838995,2.854963394326305,3.1533852377390104,91.537766
150,427,"(821.0,248.0),(1278.0,220.0),(1279.0,706.0),(830.0,710.0)",0.002184088216154881,2.7433244882631134,3.6555953024940404,-3.5060806
151,427,"(822.0,246.0),(1277.0,230.0),(1275.0,697.0),(829.0,699.0)",0.0021964446526848433,2.706106844658362,3.8140748342903543,-2.0139668
152,427,"(817.0,243.0),(1277.0,214.0),(1279.0,702.0),(825.0,709.0)",0.0021696057227588448,2.6688869155752095,3.866888479548483,-3.607351
153,427,"(813.0,253.0),(1276.0,226.0),(1277.0,708.0),(822.0,714.0)",0.002156164107197836,2.5944403258070126,3.4309872877944265,-3.3374426
155,813,"(1283.0,252.0),(1271.0,701.0),(829.0,703.0),(822.0,253.0)",0.002226376445959074,2.720994178104791,3.325252431887374,91.53092
156,427,"(815.0,248.0),(1276.0,211.0),(1280.0,711.0),(823.0,714.0)",0.0021622443420569195,2.639109347733937,3.6555953024940404,-4.5887403
157,813,"(1281.0,256.0),(1274.0,710.0),(831.0,714.0),(823.0,260.0)",0.0022023814324620052,2.750767739981385,2.91532211664252,90.88334
158,427,"(816.0,256.0),(1279.0,233.0),(1284.0,717.0),(824.0,721.0)",0.0021571672223285768,2.706106844658362,3.0872671727016794,-2.8438888
159,813,"(1289.0,254.0),(1281.0,709.0),(833.0,713.0),(824.0,258.0)",0.0021974626173839893,2.88473014053186,2.994688092016688,91.007286
162,813,"(1301.0,252.0),(1291.0,715.0),(838.0,718.0),(828.0,257.0)",0.0021593236614506294,3.1153683662489087,2.888864287941931,91.23729
164,813,"(1305.0,251.0),(1294.0,725.0),(832.0,727.0),(824.0,256.0)",0.0021091367562264527,3.093052834531919,2.6639240873600194,91.32941
165,813,"(1316.0,263.0),(1294.0,726.0),(830.0,728.0),(823.0,256.0)",0.002157393183261689,3.152558813442955,2.478617185135872,92.72043
166,813,"(1316.0,264.0),(1292.0,729.0),(829.0,731.0),(823.0,256.0)",0.0021476788774392915,3.130244862219096,2.3859440303888126,92.954575
168,813,"(1320.0,269.0),(1295.0,734.0),(825.0,732.0),(820.0,258.0)",0.0021474362293095947,3.130244862219096,2.213803964509376,93.077446
169,813,"(1319.0,266.0),(1296.0,734.0),(824.0,734.0),(818.0,257.0)",0.002134176444183809,3.1079299604629558,2.240289732251414,92.81355
171,813,"(1309.0,257.0),(1295.0,739.0),(822.0,742.0),(814.0,257.0)",0.0020738141909824146,2.981461219982192,2.187317250136362,91.66372
172,813,"(1316.0,265.0),(1296.0,741.0),(820.0,743.0),(813.0,258.0)",0.002098988362938968,3.0186609823291506,2.0283777159584453,92.40597
173,813,"(1323.0,267.0),(1299.0,743.0),(820.0,746.0),(813.0,256.0)",0.002098175103751391,3.093052834531919,1.9621435510188123,92.88641
174,813,"(1312.0,255.0),(1302.0,744.0),(820.0,748.0),(812.0,258.0)",0.0020445623240224467,3.026100630137621,2.05486987335526,91.171524
176,813,"(1318.0,253.0),(1307.0,756.0),(816.0,760.0),(806.0,256.0)",0.0019875963265134056,3.0335401758119453,1.7899106082460694,91.252785
181,813,"(1328.0,251.0),(1318.0,764.0),(813.0,769.0),(805.0,254.0)",0.00194894742683388,3.1599965847954454,1.6176453008824123,91.11673
183,813,"(1343.0,254.0),(1320.0,764.0),(809.0,765.0),(802.0,251.0)",0.0019587933670263966,3.2343683938848407,1.6706532713999678,92.58217
184,813,"(1349.0,243.0),(1322.0,758.0),(809.0,757.0),(803.0,239.0)",0.0019390845305460255,3.301293701862647,2.160829600402812,93.0011
185,813,"(1352.0,233.0),(1322.0,757.0),(807.0,757.0),(802.0,232.0)",0.0019052768983431742,3.301293701862647,2.3991838286175855,93.27671
186,813,"(1350.0,228.0),(1321.0,750.0),(810.0,753.0),(802.0,232.0)",0.0019127593094079645,3.301293701862647,2.610984778887189,93.179825
187,813,"(1358.0,214.0),(1329.0,747.0),(808.0,750.0),(797.0,220.0)",0.0018734017655530994,3.368209992636142,3.0343667856825984,93.114334
188,813,"(1360.0,215.0),(1330.0,752.0),(808.0,752.0),(798.0,216.0)",0.001859298198907004,3.397947624637999,2.981461219982192,93.19755
189,813,"(1366.0,214.0),(1332.0,756.0),(811.0,758.0),(801.0,217.0)",0.0018413989507038034,3.502014799961444,2.849175236272855,93.58949
190,813,"(1370.0,211.0),(1331.0,758.0),(814.0,757.0),(805.0,223.0)",0.0018235245800740318,3.576334374997351,2.796252250100287,94.07816
191,813,"(1372.0,211.0),(1335.0,759.0),(813.0,761.0),(805.0,226.0)",0.0018206722307702052,3.6134896598717123,2.6903920404576476,93.86264
193,813,"(1375.0,200.0),(1338.0,760.0),(805.0,763.0),(798.0,212.0)",0.0017818292352022203,3.5466079769314405,2.981461219982192,93.78012
195,813,"(1372.0,200.0),(1336.0,763.0),(799.0,765.0),(791.0,213.0)",0.001772578905402233,3.412815754358236,2.902093357133286,93.65868
200,813,"(1353.0,213.0),(1330.0,751.0),(803.0,753.0),(793.0,213.0)",0.0018570398915608395,3.2715502230283158,3.0475923714324993,92.44795
201,813,"(1354.0,208.0),(1329.0,750.0),(803.0,751.0),(793.0,209.0)",0.001843058982949567,3.2715502230283158,3.2062736458766223,92.640915
202,813,"(1354.0,210.0),(1329.0,751.0),(802.0,752.0),(793.0,210.0)",0.0018464583758536798,3.2641140768705754,3.140162291622567,92.6458
208,813,"(1373.0,198.0),(1339.0,770.0),(801.0,774.0),(786.0,215.0)",0.00174517151284449,3.420249646781371,2.6903920404576476,93.40169
211,813,"(1352.0,239.0),(1335.0,777.0),(812.0,781.0),(800.0,243.0)",0.0018578089035355633,3.420249646781371,1.5911402711945872,91.80985
212,813,"(1353.0,243.0),(1336.0,781.0),(813.0,784.0),(801.0,248.0)",0.0018578089035355633,3.4499840611167722,1.3790764616283793,91.80985
213,813,"(1353.0,248.0),(1336.0,786.0),(815.0,790.0),(803.0,252.0)",0.0018578089035355633,3.4797166149991923,1.1139442267334208,91.80985
215,813,"(1354.0,262.0),(1336.0,791.0),(815.0,792.0),(807.0,263.0)",0.001889265778551852,3.516879666963797,0.6896381140696595,91.948814
217,813,"(1369.0,239.0),(1339.0,789.0),(815.0,791.0),(805.0,255.0)",0.0018154831324840616,3.6357813721606163,1.1404597848213949,93.12212
218,813,"(1373.0,243.0),(1340.0,794.0),(813.0,795.0),(803.0,253.0)",0.0018116358682671808,3.643211698335845,0.9946184736405826,93.42741
219,813,"(1372.0,247.0),(1338.0,791.0),(813.0,790.0),(805.0,256.0)",0.0018346554819570749,3.6357813721606163,1.0078773357142936,93.57633
220,813,"(1367.0,250.0),(1336.0,786.0),(815.0,787.0),(806.0,257.0)",0.0018625591840572028,3.6060588453441396,1.0609116902642277,93.31006
222,813,"(1343.0,259.0),(1325.0,777.0),(811.0,775.0),(804.0,256.0)",0.0019293375415124338,3.301293701862647,1.2332603163035822,91.990166
224,813,"(1344.0,272.0),(1314.0,763.0),(819.0,766.0),(812.0,260.0)",0.0020328688489401263,3.3459055754466442,1.3127984969750188,93.49641
225,813,"(1325.0,259.0),(1311.0,760.0),(820.0,759.0),(813.0,260.0)",0.0019952291810061587,3.1971838374648827,1.6176453008824123,91.60066
226,813,"(1321.0,260.0),(1307.0,751.0),(825.0,751.0),(819.0,261.0)",0.002035832465551047,3.2194948968528294,1.8164101683418394,91.63324
227,813,"(1323.0,257.0),(1308.0,751.0),(824.0,749.0),(817.0,258.0)",0.0020233589029798544,3.2194948968528294,1.9224005223621312,91.73921
228,813,"(1328.0,253.0),(1315.0,749.0),(827.0,749.0),(818.0,254.0)",0.002015436962885096,3.3384705437643523,2.05486987335526,91.50136
229,813,"(1332.0,252.0),(1318.0,746.0),(835.0,745.0),(825.0,252.0)",0.0020234791008535255,3.502014799961444,2.187317250136362,91.62333
230,427,"(832.0,254.0),(1317.0,229.0),(1323.0,741.0),(842.0,740.0)",0.002059121961187989,3.531744059946507,2.5977492511470976,-2.950779
231,427,"(839.0,252.0),(1327.0,226.0),(1327.0,735.0),(846.0,731.0)",0.002046278057015022,3.7175081705678044,2.8624052261117474,-3.0497603
232,427,"(848.0,251.0),(1334.0,223.0),(1332.0,730.0),(858.0,728.0)",0.0020542067858033046,3.9625963784985414,3.0211408762648575,-3.297346
233,427,"(857.0,252.0),(1340.0,231.0),(1334.0,730.0),(865.0,724.0)",0.0020684392827727185,4.140751677918015,2.9550065230837324,-2.4895527
234,427,"(870.0,257.0),(1347.0,240.0),(1337.0,723.0),(877.0,718.0)",0.002095105969792444,4.400416851829061,2.9417787010169207,-2.041124
235,427,"(878.0,256.0),(1358.0,216.0),(1351.0,726.0),(888.0,718.0)",0.002076136976127529,4.726595014809293,3.2327158046160545,-4.7636414
329,813,"(1325.0,336.0),(1312.0,822.0),(831.0,813.0),(830.0,334.0)",0.002056877483217567,3.412815754358236,-1.9224005223621312,91.532234
332,813,"(1352.0,237.0),(1331.0,749.0),(839.0,738.0),(838.0,239.0)",0.0019514842250062264,3.873489724344577,2.610984778887189,92.3487
333,813,"(1360.0,255.0),(1326.0,776.0),(837.0,764.0),(836.0,254.0)",0.0019153117507719288,3.8660633167161063,1.47185937122473,93.73377
338,813,"(1350.0,263.0),(1331.0,763.0),(839.0,752.0),(839.0,261.0)",0.001998557559622648,3.8660633167161063,1.6043928718954745,92.176186
341,813,"(1344.0,275.0),(1328.0,773.0),(837.0,765.0),(836.0,275.0)",0.00200699655855949,3.7620800613987244,0.9548412538721887,91.84019
342,813,"(1346.0,272.0),(1330.0,770.0),(837.0,760.0),(837.0,271.0)",0.00200699655855949,3.799219823082351,1.1537173813653412,91.84019
347,813,"(1347.0,262.0),(1327.0,765.0),(837.0,754.0),(835.0,262.0)",0.0019865018749551386,3.7695082680257133,1.5513814529560592,92.276955
